epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0782,1.48431,4.04498,1.14703,0,0,0,0,1.49266,3.9201,1.05774,3.75e-05,3.75e-05,3.75e-05
2,47.6202,1.50662,3.82091,1.17177,0.00367,0.25,0.00466,0.00132,1.04021,3.8359,0.89955,8.66338e-05,8.66338e-05,8.66338e-05
3,69.5588,1.18745,3.11663,1.03602,0.00726,0.75,0.25164,0.1234,1.01078,3.74922,0.85556,0.000134777,0.000134777,0.000134777
4,91.059,1.1818,2.4441,1.00846,0.00761,0.875,0.28384,0.1715,1.08061,3.49327,0.8511,0.000181931,0.000181931,0.000181931
5,112.627,1.21951,2.13195,1.02979,0.00764,0.875,0.30388,0.19711,0.96825,3.36196,0.81641,0.000228095,0.000228095,0.000228095
6,134.179,1.20317,2.18605,1.01456,0.00769,0.875,0.30055,0.19714,0.95362,3.30898,0.8206,0.000273269,0.000273269,0.000273269
7,155.884,1.09045,1.77473,0.99631,0.0081,0.875,0.29829,0.20982,0.8649,3.22127,0.80636,0.000317452,0.000317452,0.000317452
8,177.46,0.99488,1.76483,0.94073,0.00816,0.875,0.32533,0.2472,0.87117,3.12264,0.80868,0.000360646,0.000360646,0.000360646
9,198.962,1.05222,1.72142,0.9759,0.00841,0.875,0.36124,0.25152,0.99267,3.06969,0.818,0.00040285,0.00040285,0.00040285
10,220.427,1.12867,1.68971,1.00093,0.00787,0.875,0.3965,0.27714,0.92164,3.11181,0.81991,0.000444064,0.000444064,0.000444064
11,245.641,1.15371,1.56961,0.94804,0.00773,0.875,0.38086,0.21493,0.91098,3.14321,0.84632,0.000484288,0.000484288,0.000484288
12,270.317,1.09687,1.70348,0.98896,0.00761,0.875,0.40553,0.24523,0.86368,3.17114,0.83812,0.000523521,0.000523521,0.000523521
13,294.67,1.03168,1.54979,0.97402,0.00724,0.75,0.41241,0.27345,0.90078,3.14257,0.84178,0.000561765,0.000561765,0.000561765
14,318.007,0.99888,1.41796,0.94409,0.00718,0.75,0.43079,0.30463,0.85968,3.11226,0.83093,0.000599019,0.000599019,0.000599019
15,341.698,0.83589,1.31208,0.93274,0.00686,0.5,0.39598,0.29367,0.84467,3.20815,0.84384,0.000635282,0.000635282,0.000635282
16,364.917,1.00251,1.34026,0.96457,0.00681,0.5,0.42395,0.3189,0.86184,3.18016,0.85425,0.000670556,0.000670556,0.000670556
17,387.896,1.04195,1.44504,0.99773,0.00673,0.5,0.44305,0.3409,0.88003,3.07268,0.85451,0.00070484,0.00070484,0.00070484
18,411.365,0.96178,1.46176,1.00352,1,0.02771,0.42802,0.31642,0.90416,3.03216,0.86917,0.000738134,0.000738134,0.000738134
19,434.584,0.87306,1.21496,0.9331,1,0.02682,0.3598,0.25412,0.88546,3.15831,0.87963,0.000770438,0.000770438,0.000770438
20,457.857,0.92665,1.18245,0.91762,0.87421,0.09209,0.36363,0.27519,0.87511,3.1439,0.88384,0.000801751,0.000801751,0.000801751
21,480.931,0.94364,1.23059,0.96981,1,0.03258,0.45893,0.34957,0.91544,2.82583,0.88567,0.000832075,0.000832075,0.000832075
22,504.817,0.92963,1.14134,0.95583,1,0.10383,0.4705,0.35566,0.87922,2.58747,0.87842,0.000861409,0.000861409,0.000861409
23,527.786,0.85709,1.05503,0.92947,0.96034,0.22229,0.48935,0.36241,0.8595,2.5048,0.88443,0.000889753,0.000889753,0.000889753
24,550.703,0.78521,1.09233,0.92643,0.95497,0.22313,0.53797,0.37898,0.84027,2.53659,0.88681,0.000917106,0.000917106,0.000917106
25,574.784,0.84965,1.04072,0.9419,0.91861,0.14388,0.53333,0.3525,0.90677,2.85359,0.91857,0.00094347,0.00094347,0.00094347
26,597.595,0.90601,1.06825,0.91922,0.8435,0.14706,0.56987,0.33833,0.92152,2.94734,0.93275,0.000940625,0.000940625,0.000940625
27,621.152,0.87106,1.06175,0.91119,0.83283,0.16971,0.58891,0.37191,0.95309,2.68307,0.92765,0.00092825,0.00092825,0.00092825
28,644.155,0.83581,0.99243,0.9068,0.60679,0.30749,0.64111,0.41847,0.91746,2.26487,0.90452,0.000915875,0.000915875,0.000915875
29,667.307,0.87818,1.10087,0.94173,0.62383,0.3816,0.66212,0.43859,0.91291,2.11233,0.89454,0.0009035,0.0009035,0.0009035
30,690.389,0.83218,1.01281,0.91271,0.60026,0.56704,0.66439,0.40716,0.90743,1.80155,0.88187,0.000891125,0.000891125,0.000891125
31,713.235,0.87115,1.05126,0.93482,0.60306,0.68785,0.69808,0.42282,0.90112,1.62316,0.89136,0.00087875,0.00087875,0.00087875
32,736.24,0.85952,0.98718,0.91566,0.56369,0.69391,0.72927,0.44969,0.8955,1.45464,0.87549,0.000866375,0.000866375,0.000866375
33,759.247,0.84181,0.97607,0.91175,0.51188,0.625,0.72024,0.45087,0.87734,1.21863,0.86058,0.000854,0.000854,0.000854
34,782.052,0.7765,0.92561,0.88751,0.65312,0.60578,0.71915,0.46484,0.8868,1.10342,0.86696,0.000841625,0.000841625,0.000841625
35,805.338,0.81218,0.88888,0.88821,0.71514,0.57803,0.69842,0.45387,0.87643,1.07206,0.86356,0.00082925,0.00082925,0.00082925
36,828.492,0.84207,1.00047,0.9188,0.6971,0.5422,0.69842,0.464,0.83473,1.10624,0.84454,0.000816875,0.000816875,0.000816875
37,851.535,0.73716,0.90912,0.90558,0.6799,0.55837,0.66428,0.44631,0.84038,1.17551,0.85051,0.0008045,0.0008045,0.0008045
38,874.267,0.71626,0.81286,0.87162,0.57584,0.61775,0.67466,0.43706,0.88028,1.17102,0.85961,0.000792125,0.000792125,0.000792125
39,897.49,0.88791,0.89728,0.91615,0.59142,0.625,0.70595,0.459,0.86128,1.12414,0.85513,0.00077975,0.00077975,0.00077975
40,920.44,0.75789,0.83181,0.8802,0.6642,0.625,0.7068,0.48398,0.79833,0.98978,0.84666,0.000767375,0.000767375,0.000767375
41,943.496,0.7901,0.86944,0.91128,0.66004,0.625,0.72117,0.49695,0.79462,0.92506,0.85426,0.000755,0.000755,0.000755
42,966.588,0.74251,0.7973,0.89437,0.71392,0.71787,0.77389,0.51355,0.78708,0.88175,0.86372,0.000742625,0.000742625,0.000742625
43,989.499,0.72632,0.87932,0.90664,0.73578,0.73818,0.77112,0.5012,0.80362,0.91345,0.86689,0.00073025,0.00073025,0.00073025
44,1012.37,0.79687,0.85318,0.9164,0.72225,0.70877,0.77112,0.50361,0.82243,1.00803,0.86347,0.000717875,0.000717875,0.000717875
45,1035.32,0.81092,0.86582,0.9348,0.71891,0.7179,0.76698,0.51205,0.83636,1.01374,0.86386,0.0007055,0.0007055,0.0007055
46,1058.01,0.77592,0.88077,0.91356,0.71061,0.74568,0.77734,0.51071,0.83425,0.88793,0.85236,0.000693125,0.000693125,0.000693125
47,1080.97,0.76416,0.9283,0.86052,0.71768,0.75,0.80844,0.54844,0.89522,0.86097,0.87046,0.00068075,0.00068075,0.00068075
48,1103.85,0.82563,0.97114,0.93527,0.70697,0.72743,0.80844,0.54391,0.92429,0.8757,0.88232,0.000668375,0.000668375,0.000668375
49,1126.72,0.7392,0.83466,0.90193,0.73448,0.7185,0.80844,0.54716,0.89536,0.83389,0.8762,0.000656,0.000656,0.000656
50,1149.65,0.75445,0.77721,0.91067,0.75,0.72526,0.80844,0.53682,0.85878,0.82341,0.87154,0.000643625,0.000643625,0.000643625
51,1172.68,0.72186,0.80662,0.89249,0.7463,0.72336,0.80844,0.54835,0.8589,0.84739,0.87202,0.00063125,0.00063125,0.00063125
52,1195.3,0.73708,0.79381,0.88708,0.6766,0.94202,0.80844,0.54184,0.85293,0.85235,0.87045,0.000618875,0.000618875,0.000618875
53,1218.45,0.76996,0.84805,0.8917,0.75739,0.89694,0.82917,0.53695,0.84352,0.79497,0.86997,0.0006065,0.0006065,0.0006065
54,1241.37,0.68601,0.74985,0.85142,0.69578,0.93714,0.82917,0.52099,0.84717,0.73784,0.86974,0.000594125,0.000594125,0.000594125
55,1264.65,0.7051,0.77666,0.91122,0.65583,0.9284,0.82917,0.52937,0.8467,0.72133,0.86869,0.00058175,0.00058175,0.00058175
56,1287.8,0.69765,0.73943,0.86314,0.94287,0.75,0.82847,0.52641,0.86527,0.73182,0.87023,0.000569375,0.000569375,0.000569375
57,1310.43,0.75058,0.76847,0.87364,0.93846,0.75,0.82847,0.53179,0.85401,0.75236,0.86843,0.000557,0.000557,0.000557
58,1333.22,0.74127,0.76293,0.90983,0.94992,0.74846,0.82847,0.54637,0.80488,0.76899,0.854,0.000544625,0.000544625,0.000544625
59,1355.81,0.71807,0.77315,0.88588,0.65469,0.89487,0.82847,0.55176,0.79694,0.78165,0.84783,0.00053225,0.00053225,0.00053225
60,1376.86,0.75603,0.78896,0.92769,0.6941,0.94053,0.82917,0.53135,0.81956,0.7585,0.85571,0.000519875,0.000519875,0.000519875
61,1397.96,0.70315,0.77421,0.91903,0.73024,0.93471,0.82917,0.53214,0.85954,0.71796,0.86249,0.0005075,0.0005075,0.0005075
62,1419.17,0.70546,0.70805,0.88426,0.7122,0.95436,0.82917,0.54288,0.85371,0.69684,0.85918,0.000495125,0.000495125,0.000495125
63,1440.39,0.64365,0.69137,0.88213,0.70133,0.95085,0.82917,0.54492,0.8129,0.66799,0.84334,0.00048275,0.00048275,0.00048275
64,1461.49,0.70819,0.75721,0.90217,0.9846,0.7477,0.82917,0.58303,0.7546,0.65683,0.82909,0.000470375,0.000470375,0.000470375
65,1483.11,0.75665,0.79811,0.87531,0.98526,0.74789,0.82917,0.5927,0.73828,0.66105,0.83079,0.000458,0.000458,0.000458
66,1504.28,0.65126,0.72108,0.87322,0.98795,0.75,0.82917,0.58352,0.73235,0.65862,0.83421,0.000445625,0.000445625,0.000445625
67,1525.56,0.70163,0.68009,0.87193,0.9843,0.75,0.82917,0.5694,0.73919,0.65556,0.83921,0.00043325,0.00043325,0.00043325
68,1546.78,0.63568,0.68858,0.84057,0.97936,0.75,0.82917,0.57472,0.73763,0.63001,0.83695,0.000420875,0.000420875,0.000420875
69,1568,0.66995,0.66555,0.86878,0.97628,0.75,0.995,0.67289,0.73046,0.63125,0.83241,0.0004085,0.0004085,0.0004085
70,1588.96,0.64432,0.63399,0.85291,0.7201,1,0.995,0.68903,0.7122,0.63862,0.82684,0.000396125,0.000396125,0.000396125
71,1610.17,0.65209,0.72015,0.89604,0.87976,1,0.995,0.68348,0.71293,0.6394,0.82766,0.00038375,0.00038375,0.00038375
72,1631.32,0.6951,0.70127,0.85579,0.92768,1,0.995,0.6643,0.71399,0.62708,0.82868,0.000371375,0.000371375,0.000371375
73,1655.82,0.68919,0.69147,0.88667,0.88026,1,0.995,0.6606,0.73223,0.62742,0.83291,0.000359,0.000359,0.000359
74,1677.18,0.64625,0.67677,0.9004,0.87111,1,0.995,0.68743,0.76874,0.62873,0.83991,0.000346625,0.000346625,0.000346625
75,1698.52,0.61701,0.63759,0.86024,0.92528,0.98526,0.995,0.68458,0.78401,0.63178,0.84539,0.00033425,0.00033425,0.00033425
76,1719.67,0.67434,0.66982,0.87728,0.94669,1,0.995,0.68479,0.78139,0.62968,0.85042,0.000321875,0.000321875,0.000321875
77,1740.82,0.60212,0.64011,0.84948,0.92358,1,0.995,0.68746,0.7723,0.61572,0.8517,0.0003095,0.0003095,0.0003095
78,1762.27,0.63633,0.70974,0.88292,0.88699,1,0.995,0.69093,0.7649,0.59912,0.85071,0.000297125,0.000297125,0.000297125
79,1784.49,0.63183,0.65485,0.84941,0.81076,1,0.995,0.69027,0.75494,0.58765,0.84585,0.00028475,0.00028475,0.00028475
80,1805.74,0.60327,0.62394,0.86584,0.75962,1,0.995,0.68624,0.74856,0.5939,0.84007,0.000272375,0.000272375,0.000272375
81,1827.24,0.66028,0.64344,0.85733,0.75474,1,0.87062,0.62202,0.76117,0.597,0.84324,0.00026,0.00026,0.00026
82,1849.25,0.59181,0.60274,0.84485,0.77885,1,0.87062,0.62335,0.77362,0.60249,0.84604,0.000247625,0.000247625,0.000247625
83,1870.51,0.649,0.68654,0.87139,0.78503,0.99754,0.87062,0.6303,0.7782,0.60311,0.84591,0.00023525,0.00023525,0.00023525
84,1891.78,0.59227,0.58452,0.84974,0.78182,0.98625,0.87062,0.59432,0.77056,0.59534,0.84346,0.000222875,0.000222875,0.000222875
85,1912.77,0.62125,0.60797,0.86971,0.76836,0.97892,0.87062,0.60569,0.77262,0.5911,0.84244,0.0002105,0.0002105,0.0002105
86,1933.84,0.58176,0.59705,0.85173,0.75374,0.96909,0.87062,0.60564,0.7698,0.58526,0.84432,0.000198125,0.000198125,0.000198125
87,1955.1,0.55179,0.58713,0.85438,0.74255,0.97059,0.87062,0.59863,0.76161,0.5826,0.84549,0.00018575,0.00018575,0.00018575
88,1976.3,0.60166,0.61081,0.8484,0.73183,0.97381,0.87062,0.60658,0.74979,0.57796,0.84651,0.000173375,0.000173375,0.000173375
89,1997.34,0.49585,0.60951,0.8634,0.72916,0.9883,0.87062,0.60775,0.74585,0.57827,0.84652,0.000161,0.000161,0.000161
90,2018.63,0.58085,0.58581,0.84543,0.73945,0.99998,0.87062,0.59088,0.75065,0.58007,0.84913,0.000148625,0.000148625,0.000148625
91,2039.61,0.61544,0.87392,0.82914,0.71888,1,0.87062,0.59902,0.76344,0.58059,0.85175,0.00013625,0.00013625,0.00013625
92,2060.54,0.50875,0.6569,0.83783,0.71709,1,0.87062,0.60419,0.77885,0.57889,0.8541,0.000123875,0.000123875,0.000123875
93,2081.83,0.48275,0.62743,0.80657,0.71754,1,0.87062,0.588,0.80242,0.57705,0.86145,0.0001115,0.0001115,0.0001115
94,2102.79,0.54587,0.67672,0.83223,0.71566,1,0.87062,0.58723,0.81294,0.58337,0.86456,9.9125e-05,9.9125e-05,9.9125e-05
95,2128.74,0.51752,0.66683,0.82454,0.71356,1,0.87062,0.58521,0.81644,0.58814,0.86631,8.675e-05,8.675e-05,8.675e-05
96,2155.71,0.4879,0.67491,0.84376,0.71509,1,0.87062,0.59827,0.80979,0.58533,0.86445,7.4375e-05,7.4375e-05,7.4375e-05
97,2176.79,0.53896,0.67402,0.8343,0.72348,1,0.995,0.67312,0.80051,0.5772,0.86109,6.2e-05,6.2e-05,6.2e-05
98,2197.74,0.53002,0.66149,0.85221,0.73788,1,0.995,0.67276,0.78982,0.56961,0.85818,4.9625e-05,4.9625e-05,4.9625e-05
99,2218.82,0.50172,0.65952,0.81658,0.76429,1,0.995,0.67894,0.78286,0.56563,0.85545,3.725e-05,3.725e-05,3.725e-05
100,2239.88,0.50413,0.66394,0.85129,0.79971,1,0.995,0.6792,0.77992,0.56406,0.85405,2.4875e-05,2.4875e-05,2.4875e-05
